,FIPS,State,Area_name,Unemployment_rate_2017,Median_Household_Income_2017,"Percent of adults with a bachelor's degree or higher, 2013-17",POP_ESTIMATE_2017,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
105,4017.0,AZ,"Navajo County, AZ",7.6,"$40,883",15.5,"108,956",9949.889000000001,9.297,35.390785,-110.321025
106,4019.0,AZ,"Pima County, AZ",4.5,"$51,392",31.6,"1,022,769",9187.223,2.028,32.128043,-111.783657
107,4021.0,AZ,"Pinal County, AZ",5.0,"$53,114",18.6,"430,237",5365.839,8.627,32.918521000000005,-111.36634
108,4023.0,AZ,"Santa Cruz County, AZ",9.5,"$39,265",22.1,"46,212",1236.922,1.192,31.525733000000002,-110.845228
109,4025.0,AZ,"Yavapai County, AZ",4.5,"$49,860",25.0,"228,168",8123.5109999999995,4.441,34.631071,-112.577225
110,4027.0,AZ,"Yuma County, AZ",17.0,"$46,013",14.3,"207,534",5513.975,5.145,32.773942,-113.910905
111,5001.0,AR,"Arkansas County, AR",3.3,"$43,752",14.1,"17,967",988.7639999999999,44.982,34.28957,-91.376547
112,5003.0,AR,"Ashley County, AR",5.7,"$40,495",13.4,"20,283",925.357,15.173,33.190835,-91.772267
113,5005.0,AR,"Baxter County, AR",4.2,"$43,011",18.4,"41,355",554.226,32.499,36.280268,-92.329949
114,5007.0,AR,"Benton County, AR",2.9,"$64,728",31.7,"266,300",847.558,36.356,36.337819,-94.256298
115,5009.0,AR,"Boone County, AR",3.4,"$41,770",16.2,"37,381",589.991,12.005,36.304299,-93.079236
116,5011.0,AR,"Bradley County, AR",4.7,"$35,950",14.4,"10,864",649.236,3.681,33.466549,-92.169156
117,5013.0,AR,"Calhoun County, AR",3.9,"$42,484",12.3,"5,247",628.565,3.833,33.56046,-92.513879
118,5015.0,AR,"Carroll County, AR",3.3,"$38,297",19.3,"27,944",629.965,8.661,36.33737,-93.540972
119,5017.0,AR,"Chicot County, AR",6.5,"$31,810",13.2,"10,636",644.336,46.45399999999999,33.267139,-91.297158
120,5019.0,AR,"Clark County, AR",4.0,"$40,536",26.4,"22,293",866.077,16.752,34.053315999999995,-93.176208
121,5021.0,AR,"Clay County, AR",4.6,"$35,164",10.7,"14,920",639.4680000000001,1.9680000000000002,36.367302,-90.418704
122,5023.0,AR,"Cleburne County, AR",4.9,"$43,170",15.9,"25,048",553.735,38.183,35.566315,-92.05995
123,5025.0,AR,"Cleveland County, AR",4.4,"$47,812",17.0,"8,202",597.784,0.965,33.893201,-92.188714
124,5027.0,AR,"Columbia County, AR",5.0,"$38,488",21.5,"23,627",765.9839999999999,0.769,33.223038,-93.232843
125,5029.0,AR,"Conway County, AR",4.7,"$43,519",15.8,"20,916",552.255,14.413,35.265702000000005,-92.68924799999999
126,5031.0,AR,"Craighead County, AR",3.0,"$49,355",26.5,"107,115",707.288,5.432,35.827729,-90.631421
127,5033.0,AR,"Crawford County, AR",3.5,"$44,850",14.5,"62,996",591.195,11.999,35.583011,-94.23621899999999
128,5035.0,AR,"Crittenden County, AR",4.3,"$39,272",16.9,"48,750",610.3330000000001,26.035999999999998,35.211878999999996,-90.315332
129,5037.0,AR,"Cross County, AR",4.0,"$41,661",13.8,"16,863",616.382,5.925,35.285692,-90.763984
130,5039.0,AR,"Dallas County, AR",4.5,"$33,739",14.1,"7,393",667.3860000000001,0.72,33.967822999999996,-92.653999
131,5041.0,AR,"Desha County, AR",4.8,"$33,228",12.6,"11,764",768.135,51.385,33.828752,-91.24410300000001
132,5043.0,AR,"Drew County, AR",5.2,"$41,339",18.5,"18,547",828.357,7.303,33.587241999999996,-91.722778
133,5045.0,AR,"Faulkner County, AR",3.3,"$51,535",29.7,"123,654",647.939,16.134,35.146547999999996,-92.336928
134,5047.0,AR,"Franklin County, AR",3.5,"$41,140",11.3,"17,890",608.85,10.792,35.508558,-93.887665
135,5049.0,AR,"Fulton County, AR",4.2,"$35,723",12.1,"12,055",618.193,2.134,36.383619,-91.819664
136,5051.0,AR,"Garland County, AR",4.0,"$44,662",20.1,"98,658",677.721,56.905,34.578852000000005,-93.14693199999999
137,5053.0,AR,"Grant County, AR",3.2,"$54,819",19.0,"18,165",631.812,1.1179999999999999,34.285568,-92.422979
138,5055.0,AR,"Greene County, AR",3.7,"$46,029",16.1,"45,053",577.688,1.849,36.120607,-90.566346
139,5057.0,AR,"Hempstead County, AR",3.5,"$39,505",13.1,"21,861",727.52,13.657,33.728328999999995,-93.665479
140,5059.0,AR,"Hot Spring County, AR",3.7,"$42,329",13.8,"33,574",615.2080000000001,6.965,34.315177,-92.944147
141,5061.0,AR,"Howard County, AR",3.0,"$36,744",15.3,"13,478",588.567,6.747000000000001,34.083064,-93.990931
142,5063.0,AR,"Independence County, AR",4.2,"$42,332",18.0,"37,504",763.954,7.565,35.737499,-91.559942
143,5065.0,AR,"Izard County, AR",5.5,"$37,958",12.9,"13,686",580.576,3.4419999999999997,36.094879,-91.913625
144,5067.0,AR,"Jackson County, AR",5.8,"$36,235",9.2,"17,135",633.923,7.577000000000001,35.596467,-91.22320500000001
145,5069.0,AR,"Jefferson County, AR",5.2,"$38,677",16.8,"69,115",869.982,43.79600000000001,34.277239,-91.929673
146,5071.0,AR,"Johnson County, AR",4.2,"$39,798",15.7,"26,552",659.8889999999999,22.855999999999998,35.573359,-93.46632199999999
147,5073.0,AR,"Lafayette County, AR",5.1,"$33,378",15.0,"6,862",528.295,16.784000000000002,33.240629,-93.611514
148,5075.0,AR,"Lawrence County, AR",3.8,"$40,777",15.5,"16,525",587.601,4.744,36.041098,-91.101153
149,5077.0,AR,"Lee County, AR",4.8,"$28,875",8.4,"9,176",602.621,16.881,34.779505,-90.779717
150,5079.0,AR,"Lincoln County, AR",4.2,"$43,821",7.9,"13,646",561.562,10.624,33.957675,-91.727626
151,5081.0,AR,"Little River County, AR",4.8,"$42,063",10.3,"12,359",532.246,32.52,33.699496999999994,-94.229774
152,5083.0,AR,"Logan County, AR",3.8,"$37,676",12.0,"21,722",708.122,23.430999999999997,35.218654,-93.72091
153,5085.0,AR,"Lonoke County, AR",3.3,"$54,378",20.1,"72,898",770.9019999999999,31.945999999999998,34.755114,-91.894132
154,5087.0,AR,"Madison County, AR",2.8,"$40,568",11.6,"16,339",834.2539999999999,2.826,36.012545,-93.724053
155,5089.0,AR,"Marion County, AR",3.9,"$39,539",16.0,"16,428",596.956,43.354,36.266664,-92.678577
156,5091.0,AR,"Miller County, AR",4.3,"$44,325",15.8,"43,984",625.7280000000001,11.921,33.305505,-93.90150200000001
157,5093.0,AR,"Mississippi County, AR",5.9,"$39,678",12.2,"42,159",900.576,19.238,35.766944,-90.052207
158,5095.0,AR,"Monroe County, AR",4.3,"$32,427",9.3,"7,085",607.138,14.168,34.679512,-91.20331
159,5097.0,AR,"Montgomery County, AR",4.8,"$35,500",12.3,"8,919",779.8580000000001,20.43,34.545656,-93.664153
160,5099.0,AR,"Nevada County, AR",3.5,"$46,687",17.0,"8,327",617.8380000000001,2.801,33.666699,-93.305072
161,5101.0,AR,"Newton County, AR",3.6,"$34,036",15.7,"7,828",820.909,2.29,35.910742,-93.215898
162,5103.0,AR,"Ouachita County, AR",4.6,"$39,576",15.3,"23,868",732.783,6.968999999999999,33.591167999999996,-92.878413
163,5105.0,AR,"Perry County, AR",4.2,"$44,118",12.9,"10,348",551.564,8.968,34.946363,-92.926877
164,5107.0,AR,"Phillips County, AR",5.8,"$27,663",11.3,"18,572",695.628,31.714000000000002,34.423687,-90.855593
165,5109.0,AR,"Pike County, AR",4.1,"$37,493",14.9,"10,726",600.626,13.504000000000001,34.158190999999995,-93.658659
166,5111.0,AR,"Poinsett County, AR",4.1,"$39,778",9.8,"24,154",758.362,5.22,35.568870000000004,-90.681104
167,5113.0,AR,"Polk County, AR",4.5,"$35,678",12.5,"20,118",857.681,4.777,34.490915,-94.230884
168,5115.0,AR,"Pope County, AR",4.4,"$45,803",22.2,"63,835",812.52,18.255,35.456557000000004,-93.026818
169,5117.0,AR,"Prairie County, AR",4.0,"$43,139",13.8,"8,248",647.887,27.725,34.831115999999994,-91.55362
170,5119.0,AR,"Pulaski County, AR",3.4,"$52,361",33.7,"393,956",758.915,48.74,34.770311,-92.312996
171,5121.0,AR,"Randolph County, AR",4.2,"$35,989",14.5,"17,557",652.224,3.819,36.341297999999995,-91.028441
172,5123.0,AR,"St. Francis County, AR",5.1,"$31,561",9.5,"25,930",634.803,7.733,35.014026,-90.742138
173,5125.0,AR,"Saline County, AR",3.0,"$61,384",25.5,"119,323",723.547,6.942,34.648525,-92.674463
174,5127.0,AR,"Scott County, AR",3.4,"$33,354",10.2,"10,445",892.307,5.747999999999999,34.858869,-94.063641
175,5129.0,AR,"Searcy County, AR",4.5,"$30,640",13.1,"7,938",666.095,2.416,35.896387,-92.695888
176,5131.0,AR,"Sebastian County, AR",3.6,"$44,058",19.0,"128,107",531.895,15.325999999999999,35.196981,-94.274989
177,5133.0,AR,"Sevier County, AR",4.5,"$41,649",10.6,"17,115",565.13,16.151,33.994877,-94.243279
178,5135.0,AR,"Sharp County, AR",4.9,"$34,266",10.5,"17,393",604.428,2.008,36.173398999999996,-91.471069
179,5137.0,AR,"Stone County, AR",4.7,"$32,778",13.4,"12,537",606.404,3.028,35.857001000000004,-92.14048199999999
180,5139.0,AR,"Union County, AR",5.3,"$43,827",20.1,"39,449",1039.2160000000001,15.985,33.168219,-92.598145
181,5141.0,AR,"Van Buren County, AR",5.4,"$36,244",12.9,"16,506",709.7330000000001,14.552999999999999,35.582953,-92.515976
182,5143.0,AR,"Washington County, AR",2.5,"$50,400",31.9,"231,996",942.0139999999999,10.395999999999999,35.978001,-94.21726899999999
183,5145.0,AR,"White County, AR",4.5,"$44,088",20.8,"79,016",1035.083,7.063,35.255117999999996,-91.753034
184,5147.0,AR,"Woodruff County, AR",4.8,"$32,271",11.4,"6,571",586.768,7.222,35.192777,-91.244535
185,5149.0,AR,"Yell County, AR",4.0,"$40,325",13.7,"21,523",930.138,18.719,34.997713,-93.408303
186,6001.0,CA,"Alameda County, CA",3.6,"$95,550",44.7,"1,663,190",737.3,83.755,37.647139,-121.91248799999998
187,6003.0,CA,"Alpine County, CA",6.1,"$55,755",25.6,"1,120",738.34,4.848,38.621783,-119.79835200000001
188,6005.0,CA,"Amador County, CA",4.9,"$60,588",22.1,"38,626",594.572,11.379000000000001,38.44355,-120.653856
189,6007.0,CA,"Butte County, CA",5.7,"$48,634",26.6,"229,294",1636.47,40.661,39.665959,-121.601919
190,6009.0,CA,"Calaveras County, CA",4.7,"$58,536",19.3,"45,670",1020.0160000000001,16.91,38.1839,-120.56144099999999
191,6011.0,CA,"Colusa County, CA",14.3,"$53,595",15.7,"21,805",1150.713,5.641,39.177739,-122.237563
192,6013.0,CA,"Contra Costa County, CA",3.8,"$95,062",40.7,"1,147,439",717.082,86.98200000000001,37.919478999999995,-121.95154299999999
193,6015.0,CA,"Del Norte County, CA",6.4,"$39,996",14.4,"27,470",1006.2280000000001,223.454,41.763958,-124.00361399999998
194,6017.0,CA,"El Dorado County, CA",4.4,"$78,464",33.3,"188,987",1707.842,78.506,38.785612,-120.534225
195,6019.0,CA,"Fresno County, CA",8.5,"$51,452",20.1,"989,255",5958.099,53.028999999999996,36.761006,-119.655019
196,6021.0,CA,"Glenn County, CA",7.5,"$49,979",13.0,"28,094",1313.9679999999998,13.009,39.602546000000004,-122.4017
197,6023.0,CA,"Humboldt County, CA",4.2,"$46,123",29.4,"136,754",3568.1740000000004,484.08099999999996,40.706655,-123.926176
198,6025.0,CA,"Imperial County, CA",19.1,"$43,413",14.3,"182,830",4176.58,305.103,33.040814000000005,-115.3554
199,6027.0,CA,"Inyo County, CA",4.4,"$53,528",25.3,"18,026",10180.938,45.98,36.561977,-117.403927
200,6029.0,CA,"Kern County, CA",9.2,"$49,904",15.8,"893,119",8132.26,30.410999999999998,35.346629,-118.729506
201,6031.0,CA,"Kings County, CA",8.9,"$55,076",13.0,"150,101",1390.309,1.2209999999999999,36.072478000000004,-119.81553000000001
202,6033.0,CA,"Lake County, CA",5.7,"$45,797",15.3,"64,246",1256.517,72.91,39.094802,-122.746757
203,6035.0,CA,"Lassen County, CA",5.6,"$58,776",12.4,"31,163",4541.185,178.93,40.721086,-120.629952
204,6037.0,CA,"Los Angeles County, CA",4.7,"$64,912",31.2,"10,163,507",4058.1929999999998,692.928,34.196397999999995,-118.26186200000001
205,6039.0,CA,"Madera County, CA",8.1,"$50,783",13.8,"156,890",2136.928,16.311,37.209821000000005,-119.749802
206,6041.0,CA,"Marin County, CA",2.9,"$112,735",57.5,"260,955",520.457,307.735,38.051817,-122.745974
207,6043.0,CA,"Mariposa County, CA",5.9,"$52,387",24.4,"17,569",1448.838,13.987,37.570029999999996,-119.912861
208,6045.0,CA,"Mendocino County, CA",4.5,"$50,453",24.8,"88,018",3506.3590000000004,371.796,39.432388,-123.442881
209,6047.0,CA,"Merced County, CA",9.3,"$48,036",13.8,"272,673",1935.646,43.006,37.194806,-120.722802
210,6049.0,CA,"Modoc County, CA",8.0,"$40,970",16.6,"8,859",3915.447,287.809,41.592918,-120.71837
211,6051.0,CA,"Mono County, CA",4.4,"$60,318",31.5,"14,168",3048.987,82.89399999999999,37.915836,-118.87516699999999
212,6053.0,CA,"Monterey County, CA",7.2,"$70,294",23.9,"437,907",3281.7209999999995,489.5,36.240107,-121.315572
